id,term,part_of_speech,definition,pronunciation,synonyms,example,topic,subtopic,category,source_url
IELTS-VOCAB-0603,cabbage,noun,A nutritious edible vegetable utilized in culinary preparation: cabbage.,,,"Nutritional scientists emphasize that consuming fresh seasonal cabbage provides essential vitamins, antioxidants, and dietary fiber.",Food: Vegetables,Food: Vegetables,Short Word Lists for Quick Review,https://ieltsliz.com/vocabulary-for-food-vegetables/
IELTS-VOCAB-0604,carrots,noun,A nutritious edible vegetable utilized in culinary preparation: carrots.,,,"Nutritional scientists emphasize that consuming fresh seasonal carrots provides essential vitamins, antioxidants, and dietary fiber.",Food: Vegetables,Food: Vegetables,Short Word Lists for Quick Review,https://ieltsliz.com/vocabulary-for-food-vegetables/
IELTS-VOCAB-0605,cauliflower,noun,A nutritious edible vegetable utilized in culinary preparation: cauliflower.,,,"Nutritional scientists emphasize that consuming fresh seasonal cauliflower provides essential vitamins, antioxidants, and dietary fiber.",Food: Vegetables,Food: Vegetables,Short Word Lists for Quick Review,https://ieltsliz.com/vocabulary-for-food-vegetables/
IELTS-VOCAB-0606,celery,noun,A nutritious edible vegetable utilized in culinary preparation: celery.,,,"Nutritional scientists emphasize that consuming fresh seasonal celery provides essential vitamins, antioxidants, and dietary fiber.",Food: Vegetables,Food: Vegetables,Short Word Lists for Quick Review,https://ieltsliz.com/vocabulary-for-food-vegetables/
IELTS-VOCAB-0607,corn,noun,A nutritious edible vegetable utilized in culinary preparation: corn.,,,"Nutritional scientists emphasize that consuming fresh seasonal corn provides essential vitamins, antioxidants, and dietary fiber.",Food: Vegetables,Food: Vegetables,Short Word Lists for Quick Review,https://ieltsliz.com/vocabulary-for-food-vegetables/
IELTS-VOCAB-0608,zucchini,noun,A nutritious edible vegetable utilized in culinary preparation: zucchini.,,,"Nutritional scientists emphasize that consuming fresh seasonal zucchini provides essential vitamins, antioxidants, and dietary fiber.",Food: Vegetables,Food: Vegetables,Short Word Lists for Quick Review,https://ieltsliz.com/vocabulary-for-food-vegetables/
IELTS-VOCAB-0609,cucumber,noun,A nutritious edible vegetable utilized in culinary preparation: cucumber.,,,"Nutritional scientists emphasize that consuming fresh seasonal cucumber provides essential vitamins, antioxidants, and dietary fiber.",Food: Vegetables,Food: Vegetables,Short Word Lists for Quick Review,https://ieltsliz.com/vocabulary-for-food-vegetables/
IELTS-VOCAB-0610,lettuce,noun,A nutritious edible vegetable utilized in culinary preparation: lettuce.,,,"Nutritional scientists emphasize that consuming fresh seasonal lettuce provides essential vitamins, antioxidants, and dietary fiber.",Food: Vegetables,Food: Vegetables,Short Word Lists for Quick Review,https://ieltsliz.com/vocabulary-for-food-vegetables/
IELTS-VOCAB-0611,mushrooms,noun,A nutritious edible vegetable utilized in culinary preparation: mushrooms.,,,"Nutritional scientists emphasize that consuming fresh seasonal mushrooms provides essential vitamins, antioxidants, and dietary fiber.",Food: Vegetables,Food: Vegetables,Short Word Lists for Quick Review,https://ieltsliz.com/vocabulary-for-food-vegetables/
IELTS-VOCAB-0612,onions,noun,A nutritious edible vegetable utilized in culinary preparation: onions.,,,"Nutritional scientists emphasize that consuming fresh seasonal onions provides essential vitamins, antioxidants, and dietary fiber.",Food: Vegetables,Food: Vegetables,Short Word Lists for Quick Review,https://ieltsliz.com/vocabulary-for-food-vegetables/
IELTS-VOCAB-0613,peas,noun,A nutritious edible vegetable utilized in culinary preparation: peas.,,,"Nutritional scientists emphasize that consuming fresh seasonal peas provides essential vitamins, antioxidants, and dietary fiber.",Food: Vegetables,Food: Vegetables,Short Word Lists for Quick Review,https://ieltsliz.com/vocabulary-for-food-vegetables/
IELTS-VOCAB-0614,potatoes,noun,A nutritious edible vegetable utilized in culinary preparation: potatoes.,,,"Nutritional scientists emphasize that consuming fresh seasonal potatoes provides essential vitamins, antioxidants, and dietary fiber.",Food: Vegetables,Food: Vegetables,Short Word Lists for Quick Review,https://ieltsliz.com/vocabulary-for-food-vegetables/
IELTS-VOCAB-0615,pumpkin,noun,A nutritious edible vegetable utilized in culinary preparation: pumpkin.,,,"Nutritional scientists emphasize that consuming fresh seasonal pumpkin provides essential vitamins, antioxidants, and dietary fiber.",Food: Vegetables,Food: Vegetables,Short Word Lists for Quick Review,https://ieltsliz.com/vocabulary-for-food-vegetables/
IELTS-VOCAB-0616,radish,noun,A nutritious edible vegetable utilized in culinary preparation: radish.,,,"Nutritional scientists emphasize that consuming fresh seasonal radish provides essential vitamins, antioxidants, and dietary fiber.",Food: Vegetables,Food: Vegetables,Short Word Lists for Quick Review,https://ieltsliz.com/vocabulary-for-food-vegetables/
IELTS-VOCAB-0617,red pepper,noun,A nutritious edible vegetable utilized in culinary preparation: red pepper.,,,"Nutritional scientists emphasize that consuming fresh seasonal red pepper provides essential vitamins, antioxidants, and dietary fiber.",Food: Vegetables,Food: Vegetables,Short Word Lists for Quick Review,https://ieltsliz.com/vocabulary-for-food-vegetables/
IELTS-VOCAB-0618,sprouts,noun,A nutritious edible vegetable utilized in culinary preparation: sprouts.,,,"Nutritional scientists emphasize that consuming fresh seasonal sprouts provides essential vitamins, antioxidants, and dietary fiber.",Food: Vegetables,Food: Vegetables,Short Word Lists for Quick Review,https://ieltsliz.com/vocabulary-for-food-vegetables/
IELTS-VOCAB-0619,sweet potato,noun,A nutritious edible vegetable utilized in culinary preparation: sweet potato.,,,"Nutritional scientists emphasize that consuming fresh seasonal sweet potato provides essential vitamins, antioxidants, and dietary fiber.",Food: Vegetables,Food: Vegetables,Short Word Lists for Quick Review,https://ieltsliz.com/vocabulary-for-food-vegetables/
IELTS-VOCAB-0620,tomatoes,noun,A nutritious edible vegetable utilized in culinary preparation: tomatoes.,,,"Nutritional scientists emphasize that consuming fresh seasonal tomatoes provides essential vitamins, antioxidants, and dietary fiber.",Food: Vegetables,Food: Vegetables,Short Word Lists for Quick Review,https://ieltsliz.com/vocabulary-for-food-vegetables/
IELTS-VOCAB-0621,accordion,noun,A musical instrument played in orchestral and acoustic performances: accordion.,,,Mastering a traditional musical instrument such as the accordion requires disciplined daily practice and acute auditory sensitivity.,Musical Instruments,Vocabulary Practice,Short Word Lists for Quick Review,https://ieltsliz.com/musical-instruments-vocabulary/
IELTS-VOCAB-0622,bagpipes,noun (plural),A musical percussion or acoustic ensemble instrument: bagpipes.,,,Traditional acoustic ensembles frequently incorporate acoustic instruments such as bagpipes to provide dynamic rhythmic accompaniment.,Musical Instruments,Wind Instruments,Short Word Lists for Quick Review,https://ieltsliz.com/musical-instruments-vocabulary/
IELTS-VOCAB-0623,banjo,noun,A musical instrument played in orchestral and acoustic performances: banjo.,,,Mastering a traditional musical instrument such as the banjo requires disciplined daily practice and acute auditory sensitivity.,Musical Instruments,Stringed Instruments,Short Word Lists for Quick Review,https://ieltsliz.com/musical-instruments-vocabulary/
IELTS-VOCAB-0624,bugle,noun,A musical instrument played in orchestral and acoustic performances: bugle.,,,Mastering a traditional musical instrument such as the bugle requires disciplined daily practice and acute auditory sensitivity.,Musical Instruments,Vocabulary Practice,Short Word Lists for Quick Review,https://ieltsliz.com/musical-instruments-vocabulary/
IELTS-VOCAB-0625,cello,noun,A musical instrument played in orchestral and acoustic performances: cello.,,,Mastering a traditional musical instrument such as the cello requires disciplined daily practice and acute auditory sensitivity.,Musical Instruments,Stringed Instruments,Short Word Lists for Quick Review,https://ieltsliz.com/musical-instruments-vocabulary/
IELTS-VOCAB-0626,clarinet,noun,A musical instrument played in orchestral and acoustic performances: clarinet.,,,Mastering a traditional musical instrument such as the clarinet requires disciplined daily practice and acute auditory sensitivity.,Musical Instruments,Wind Instruments,Short Word Lists for Quick Review,https://ieltsliz.com/musical-instruments-vocabulary/
IELTS-VOCAB-0627,drum,noun,A musical instrument played in orchestral and acoustic performances: drum.,,,Mastering a traditional musical instrument such as the drum requires disciplined daily practice and acute auditory sensitivity.,Musical Instruments,Vocabulary Practice,Short Word Lists for Quick Review,https://ieltsliz.com/musical-instruments-vocabulary/
IELTS-VOCAB-0628,drums,noun (plural),A musical percussion or acoustic ensemble instrument: drums.,,,Traditional acoustic ensembles frequently incorporate acoustic instruments such as drums to provide dynamic rhythmic accompaniment.,Musical Instruments,Percussion Instruments,Short Word Lists for Quick Review,https://ieltsliz.com/musical-instruments-vocabulary/
IELTS-VOCAB-0629,electric guitar,noun,A musical instrument played in orchestral and acoustic performances: electric guitar.,,,Mastering a traditional musical instrument such as the electric guitar requires disciplined daily practice and acute auditory sensitivity.,Musical Instruments,Stringed Instruments,Short Word Lists for Quick Review,https://ieltsliz.com/musical-instruments-vocabulary/
IELTS-VOCAB-0630,electronic keyboard,noun,A musical instrument played in orchestral and acoustic performances: electronic keyboard.,,,Mastering a traditional musical instrument such as the electronic keyboard requires disciplined daily practice and acute auditory sensitivity.,Musical Instruments,Keyboard Instruments,Short Word Lists for Quick Review,https://ieltsliz.com/musical-instruments-vocabulary/
IELTS-VOCAB-0631,fiddle,noun,A musical instrument played in orchestral and acoustic performances: fiddle.,,,Mastering a traditional musical instrument such as the fiddle requires disciplined daily practice and acute auditory sensitivity.,Musical Instruments,Stringed Instruments,Short Word Lists for Quick Review,https://ieltsliz.com/musical-instruments-vocabulary/
IELTS-VOCAB-0632,flute,noun,A musical instrument played in orchestral and acoustic performances: flute.,,,Mastering a traditional musical instrument such as the flute requires disciplined daily practice and acute auditory sensitivity.,Musical Instruments,Vocabulary Practice,Short Word Lists for Quick Review,https://ieltsliz.com/musical-instruments-vocabulary/
IELTS-VOCAB-0633,guitar,noun,A musical instrument played in orchestral and acoustic performances: guitar.,,,Mastering a traditional musical instrument such as the guitar requires disciplined daily practice and acute auditory sensitivity.,Musical Instruments,Vocabulary Practice,Short Word Lists for Quick Review,https://ieltsliz.com/musical-instruments-vocabulary/
